main/aqi,components/co,components/no,components/no2,components/o3,components/so2,components/pm2_5,components/pm10,components/nh3,dt,
5,714.3,0.27,105.56,91.55,25.51,75.16,89.63,1.74,1606266000,25/11/20 1:00:00
5,881.2,0.06,141.2,41.13,17.88,86.15,102.81,2.79,1606269600,25/11/20 2:00:00
5,1041.41,3.91,165.88,9.57,14.42,99.15,118.03,3.93,1606273200,25/11/20 3:00:00
5,1615.52,81.36,180.96,0,9.54,128.21,154.66,7.98,1606276800,25/11/20 4:00:00
5,2349.85,187.76,189.19,0,6.74,164.85,201.94,10.39,1606280400,25/11/20 5:00:00
5,2883.91,271.8,186.44,0,6.68,193.1,241.03,13.81,1606284000,25/11/20 6:00:00
5,3177.64,321.87,180.96,0,8.11,207.14,262.85,18.49,1606287600,25/11/20 7:00:00
5,3070.83,321.87,164.51,0,8.46,196.64,251.75,16.97,1606291200,25/11/20 8:00:00
5,2590.18,268.22,138.46,0,7.75,164.08,211.75,11.91,1606294800,25/11/20 9:00:00
5,2056.12,203.85,117.9,0,7.57,131.42,169.89,8.23,1606298400,25/11/20 10:00:00
5,1668.93,151.99,100.08,0,6.62,106.3,138.32,5.7,1606302000,25/11/20 11:00:00
5,1388.55,118.02,80.88,0,5.19,89.43,116.82,3.9,1606305600,25/11/20 12:00:00
5,1201.63,97.45,69.23,0,4.41,80.36,104.34,2.98,1606309200,25/11/20 13:00:00
5,1174.93,96.56,66.49,0,4.95,79.74,102.77,3.67,1606312800,25/11/20 14:00:00
5,1468.66,144.84,71.97,0,6.44,92.91,119.39,7.98,1606316400,25/11/20 15:00:00
5,2056.12,239.61,85,0.62,8.11,119.28,151.45,13.05,1606320000,25/11/20 16:00:00
5,2777.1,346.9,105.56,2.68,8.82,152.29,189.71,16.97,1606323600,25/11/20 17:00:00
5,3284.45,389.81,145.32,5.9,11.68,190.4,230.55,17.99,1606327200,25/11/20 18:00:00
5,1148.22,46.05,157.65,78.68,61.04,143.1,161.38,0.26,1606330800,25/11/20 19:00:00
