main/aqi,components/co,components/no,components/no2,components/o3,components/so2,components/pm2_5,components/pm10,components/nh3,dt,
5,2536.77,0.29,59.63,19.31,27.42,365.46,427.92,17.48,1606266000,25/11/20 1:00:00
5,3044.13,3.8,74.03,5.28,35.29,402.55,489.21,24.07,1606269600,25/11/20 2:00:00
5,3311.16,12.07,75.4,6.44,41.49,425.81,528.29,27.11,1606273200,25/11/20 3:00:00
5,3150.94,12.52,71.29,22.53,46.73,427.54,530.01,27.36,1606276800,25/11/20 4:00:00
5,2937.32,10.62,65.12,41.49,48.16,433.66,542.65,27.11,1606280400,25/11/20 5:00:00
5,2483.37,6.31,54.84,74.39,49.11,425.74,524.49,22.55,1606284000,25/11/20 6:00:00
5,1268.39,3.41,41.13,148.77,84.88,288.88,327.65,5.76,1606287600,25/11/20 7:00:00
5,988.01,1.76,25.71,175.95,56.74,241.07,269.25,3.61,1606291200,25/11/20 8:00:00
5,881.2,0.81,15.42,188.83,30.99,215.46,239.73,4.31,1606294800,25/11/20 9:00:00
5,894.55,0.59,16.79,168.8,21.94,192.19,217.39,7.6,1606298400,25/11/20 10:00:00
5,1001.36,0.35,25.36,133.04,20.5,181.49,214.33,12.92,1606302000,25/11/20 11:00:00
5,1121.52,0.04,33.93,101.57,20.03,177.56,218.27,17.99,1606305600,25/11/20 12:00:00
5,1214.98,0,38.04,80.11,19.55,179.27,228.78,22.8,1606309200,25/11/20 13:00:00
5,1308.44,0,39.76,65.8,20.03,188.12,246.44,26.6,1606312800,25/11/20 14:00:00
5,1401.9,0,41.13,54.36,19.31,202.71,267.05,25.59,1606316400,25/11/20 15:00:00
5,1495.36,0,42.5,44.7,18.12,219.01,287.99,21.03,1606320000,25/11/20 16:00:00
5,1615.52,0.01,44.55,34.33,16.69,234.35,309.83,16.21,1606323600,25/11/20 17:00:00
5,1615.52,0.03,44.55,26.11,13.95,237.89,309.65,11.65,1606327200,25/11/20 18:00:00
5,1548.77,0.05,42.5,21.82,11.33,232.23,291.44,8.36,1606330800,25/11/20 19:00:00
5,1495.36,0.05,39.41,19.85,10.13,227.18,275.71,7.54,1606334400,25/11/20 20:00:00
5,1428.6,0.06,36.67,18.24,9.3,222.64,263.32,7.41,1606338000,25/11/20 21:00:00
5,1375.2,0.09,34.96,16.27,8.58,220.29,253.13,6.97,1606341600,25/11/20 22:00:00
5,1348.5,0.18,34.62,12.7,8.7,218.09,245.85,5.95,1606345200,25/11/20 23:00:00
5,1375.2,0.45,35.64,8.85,9.54,215.87,241.51,5.19,1606348800,26/11/20 0:00:00
5,1441.96,1.26,37.01,5.63,11.68,212.15,242.18,5.89,1606352400,26/11/20 1:00:00
5,1562.12,3.55,41.13,2.53,15.74,211.26,253.85,8.87,1606356000,26/11/20 2:00:00
5,1548.77,7.82,40.44,6.62,19.31,192.49,242.07,11.91,1606359600,26/11/20 3:00:00
5,1054.76,5.64,29.13,34.69,22.41,120.72,152.15,10.77,1606363200,26/11/20 4:00:00
5,807.76,5.36,22.96,51.5,23.13,73.76,100.56,11.78,1606366800,26/11/20 5:00:00
5,674.25,4.75,21.25,62.94,26.23,52.69,76.71,11.91,1606370400,26/11/20 6:00:00
5,487.33,2.43,14.57,92.98,24.8,50.92,65.6,6.52,1606374000,26/11/20 7:00:00
5,447.27,1.69,11.48,111.58,22.41,51.99,64.09,5.51,1606377600,26/11/20 8:00:00
5,440.6,1.29,10.37,120.16,20.98,50.04,62.02,6.14,1606381200,26/11/20 9:00:00
5,527.38,1.34,15.25,117.3,21.94,52.96,69.72,8.87,1606384800,26/11/20 10:00:00
5,627.52,0.89,22.62,103,20.98,53.63,77.17,13.05,1606388400,26/11/20 11:00:00
5,700.95,0.1,28.1,85.83,18.84,50.36,76.94,16.21,1606392000,26/11/20 12:00:00
