main/aqi,components/co,components/no,components/no2,components/o3,components/so2,components/pm2_5,components/pm10,components/nh3,dt,,
4,527.38,5.53,9.25,1.7,3.1,34.99,40.49,9.12,1606266000,25-11-2020 ,1:00:00
4,660.9,13.52,9.43,7.06,3.99,40.05,46.71,8.61,1606269600,25-11-2020 ,2:00:00
4,847.82,19,17.31,18.42,4.77,47.69,55.28,9.63,1606273200,25-11-2020 ,3:00:00
3,383.85,1.2,5.23,83.69,4.41,21.65,23.39,2.72,1606276800,25-11-2020 ,4:00:00
3,357.15,0.55,2.96,98.71,4.35,20.88,22.28,2.57,1606280400,25-11-2020 ,5:00:00
3,337.12,0.34,2.06,103,4.11,20.09,21.29,2.38,1606284000,25-11-2020 ,6:00:00
3,387.19,0.65,4.16,108.72,5.72,23.92,25.54,4.18,1606287600,25-11-2020 ,7:00:00
4,500.68,1.08,8.14,127.32,8.23,33.86,36.41,7.28,1606291200,25-11-2020 ,8:00:00
4,614.17,1.24,12.51,141.62,10.85,44.12,47.52,10.13,1606294800,25-11-2020 ,9:00:00
5,801.09,1.36,23.99,127.32,12.28,58.06,62.97,15.07,1606298400,25-11-2020 ,10:00:00
5,1041.41,0.34,42.16,70.1,10.61,73.25,80.14,17.73,1606302000,25-11-2020 ,11:00:00
5,1241.68,0.69,58.95,17.17,8.23,82.42,90.94,17.48,1606305600,25-11-2020 ,12:00:00
5,1188.28,10.39,47.98,0.31,5.84,73.62,82.73,13.55,1606309200,25-11-2020 ,13:00:00
5,1054.76,19.22,29.47,0.01,5.42,62.55,72.36,10.77,1606312800,25-11-2020 ,14:00:00
5,988.01,22.13,20.05,0,6.02,57.33,68.55,11.53,1606316400,25-11-2020 ,15:00:00
5,934.6,22.13,15.77,0,6.97,55.2,67.36,14.82,1606320000,25-11-2020 ,16:00:00
5,867.84,20.34,13.37,0.01,7.27,51.84,63.88,16.72,1606323600,25-11-2020 ,17:00:00
4,747.68,16.99,12.68,0.02,6.32,44.66,55.42,16.97,1606327200,25-11-2020 ,18:00:00
4,660.9,14.53,12.68,0.02,5.13,39.55,48.92,17.48,1606330800,25-11-2020 ,19:00:00
4,607.49,11.62,12.17,0.04,4.23,37.72,46.17,16.21,1606334400,25-11-2020 ,20:00:00
4,554.09,8.38,11.31,0.1,3.34,35.87,43.22,13.17,1606338000,25-11-2020 ,21:00:00
4,500.68,5.14,10.88,0.34,2.68,33.43,39.62,10.51,1606341600,25-11-2020 ,22:00:00
4,480.65,3.27,10.97,0.69,2.56,32.51,38.01,9.63,1606345200,25-11-2020 ,23:00:00
4,494,3.19,11.14,0.76,2.77,33.6,39.04,9.5,1606348800,26-11-2020 ,0:00:00
4,527.38,5.14,11.14,0.83,3.01,34.6,40.17,8.23,1606352400,26-11-2020 ,1:00:00
4,680.92,14.31,10.54,2.73,4.05,40.39,47.18,7.98,1606356000,26-11-2020 ,2:00:00
4,894.55,24.14,15.59,8.58,4.89,48.44,56.47,9.37,1606359600,26-11-2020 ,3:00:00
3,397.21,1.73,7.11,75.82,5.25,22.81,24.78,3.14,1606363200,26-11-2020 ,4:00:00
3,387.19,0.91,5.01,101.57,6.08,24.42,26.25,3.52,1606366800,26-11-2020 ,5:00:00
4,373.84,0.5,3.38,117.3,6.08,25.21,26.89,3.48,1606370400,26-11-2020 ,6:00:00
3,360.49,0.45,3.04,107.29,5.31,22.91,24.36,3.29,1606374000,26-11-2020 ,7:00:00
3,397.21,0.66,5.14,110.15,6.68,24.98,26.68,4.62,1606377600,26-11-2020 ,8:00:00
4,447.27,0.74,8.48,113.01,8.35,28.16,30.19,6.33,1606381200,26-11-2020 ,9:00:00
4,620.84,0.68,22.96,82.25,9.42,36.35,39.87,11.78,1606384800,26-11-2020 ,10:00:00
4,881.2,0.25,43.18,33.26,8.46,48.71,54.21,15.58,1606388400,26-11-2020 ,11:00:00
5,1108.17,6.04,52.78,2.71,7.15,58.81,65.93,16.21,1606392000,26-11-2020 ,12:00:00
5,1094.82,19,37.36,0.02,5.54,55.58,63.17,13.43,1606395600,26-11-2020 ,13:00:00
5,988.01,24.14,24.33,0.01,6.02,50.75,59.16,12.79,1606399200,26-11-2020 ,14:00:00
5,947.95,24.81,18.68,0,7.87,50.02,59.97,16.97,1606402800,26-11-2020 ,15:00:00
5,934.6,23.92,17.14,0,10.37,51.52,62.64,24.32,1606406400,26-11-2020 ,16:00:00
4,881.2,21.46,15.94,0.01,10.85,49.78,61.16,27.11,1606410000,26-11-2020 ,17:00:00
4,747.68,17.21,14.91,0.02,8.7,42.52,52.87,24.32,1606413600,26-11-2020 ,18:00:00
4,640.87,13.52,14.74,0.04,6.5,36.16,45.01,22.04,1606417200,26-11-2020 ,19:00:00
4,580.79,10.17,14.4,0.09,5.42,33.84,41.65,21.03,1606420800,26-11-2020 ,20:00:00
4,540.73,7.1,13.54,0.19,4.65,32.48,39.6,19.25,1606424400,26-11-2020 ,21:00:00
4,494,4.47,12.34,0.42,3.82,30.85,37.26,16.47,1606428000,26-11-2020 ,22:00:00
4,473.98,3.21,11.48,0.63,3.46,30.54,36.55,14.44,1606431600,26-11-2020 ,23:00:00
4,487.33,3.47,11.14,0.63,3.55,32.32,38.33,13.43,1606435200,27-11-2020 ,0:00:00
4,527.38,5.53,10.97,0.98,3.55,33.47,39.53,10.39,1606438800,27-11-2020 ,1:00:00
