main/aqi,components/co,components/no,components/no2,components/o3,components/so2,components/pm2_5,components/pm10,components/nh3,dt,
5,580.79,0,12,60.08,7.87,57.79,63.37,20.27,1606266000,25/11/20 1:00
5,720.98,0.04,19.71,51.5,10.49,56.45,63.62,20.01,1606269600,25/11/20 2:00
5,834.47,1.48,23.65,54.36,14.9,57.74,65.74,18.49,1606273200,25/11/20 3:00
5,734.33,2.49,16.97,77.25,19.79,59.45,66.83,15.83,1606276800,25/11/20 4:00
5,680.92,2.29,13.37,95.84,21.22,62.46,70.14,15.71,1606280400,25/11/20 5:00
5,634.19,1.63,10.45,118.73,21.94,64.33,72.12,15.33,1606284000,25/11/20 6:00
5,373.84,0.33,2.79,145.91,19.55,56.71,60.98,4.24,1606287600,25/11/20 7:00
5,350.48,0.25,2.4,147.34,16.21,53.49,57.11,3.26,1606291200,25/11/20 8:00
5,350.48,0.24,2.72,147.34,15.74,52.7,56.26,3.42,1606294800,25/11/20 9:00
5,467.3,0.74,9.77,134.47,16.93,55.53,60.19,6.9,1606298400,25/11/20 10:00
5,694.28,1.06,22.28,115.87,19.79,62.17,68.64,12.29,1606302000,25/11/20 11:00
5,894.55,0.29,33.93,95.84,22.41,67.67,75.31,15.71,1606305600,25/11/20 12:00
5,1121.52,0,42.84,73.67,22.65,73.54,83.16,19.76,1606309200,25/11/20 13:00
5,1308.44,0,45.93,57.22,22.17,81.17,93.58,23.56,1606312800,25/11/20 14:00
5,1375.2,0,43.53,50.78,21.7,87.92,102.3,25.33,1606316400,25/11/20 15:00
5,1361.85,0,37.01,52.21,20.74,93.5,108.58,25.84,1606320000,25/11/20 16:00
5,1255.04,0,30.16,59.37,19.07,93.88,108.02,24.83,1606323600,25/11/20 17:00
5,1068.12,0,23.65,65.09,14.78,83.79,95.49,23.31,1606327200,25/11/20 18:00
5,774.38,0,15.59,70.1,10.13,64.02,72.26,20.52,1606330800,25/11/20 19:00
5,640.87,0,12.34,65.09,7.99,54.9,62.14,21.03,1606334400,25/11/20 20:00
5,567.44,0,10.54,60.08,6.8,50.71,57.84,22.04,1606338000,25/11/20 21:00
