main/aqi,components/co,components/no,components/no2,components/o3,components/so2,components/pm2_5,components/pm10,components/nh3,dt,
5,6462.1,350.48,132.98,0.14,846.86,260.06,302.19,2.41,1606266000,25/11/20 1:00:00
5,6622.31,357.63,135.72,0.31,923.16,257.68,301.29,2.22,1606269600,25/11/20 2:00:00
5,6462.1,357.63,134.35,0.58,1007.08,234.62,276.96,1.35,1606273200,25/11/20 3:00:00
5,6462.1,364.78,134.35,0.25,1083.37,209.48,247.73,0.12,1606276800,25/11/20 4:00:00
5,5661.01,321.87,128.87,0.14,953.67,181.75,215.81,0,1606280400,25/11/20 5:00:00
5,4699.71,268.22,115.16,0.13,785.83,150.47,179.12,0.32,1606284000,25/11/20 6:00:00
5,4592.9,264.65,109.67,0.06,762.94,146.85,173.77,0.6,1606287600,25/11/20 7:00:00
5,4699.71,268.22,111.04,0.03,747.68,154.59,180.99,0.6,1606291200,25/11/20 8:00:00
5,4486.08,261.07,112.41,0,679.02,154.73,180.22,0.84,1606294800,25/11/20 9:00:00
5,3845.22,212.79,108.3,0,549.32,139.74,162.94,1.49,1606298400,25/11/20 10:00:00
5,3524.78,180.6,97.33,0,488.28,137.33,159.35,2.06,1606302000,25/11/20 11:00:00
5,3311.16,155.57,85,0,442.51,133.51,154.81,2.25,1606305600,25/11/20 12:00:00
5,2723.69,116.23,72.66,0,350.95,110.56,130.51,2.01,1606309200,25/11/20 13:00:00
5,2696.99,114.44,68.55,0,343.32,111.26,133.1,1.88,1606312800,25/11/20 14:00:00
5,2643.59,118.02,67.86,0,343.32,106,128.93,1.39,1606316400,25/11/20 15:00:00
5,2777.1,146.63,59.63,0,400.54,97.5,119.41,0.23,1606320000,25/11/20 16:00:00
5,4219.06,246.76,69.92,0,625.61,143.89,171.79,0,1606323600,25/11/20 17:00:00
5,5981.45,354.05,94.59,0,785.83,219.16,254.66,0,1606327200,25/11/20 18:00:00
5,6248.47,364.78,102.82,0,740.05,241.93,279.69,0,1606330800,25/11/20 19:00:00
5,5500.79,314.71,91.85,0,709.53,204.59,237.21,0,1606334400,25/11/20 20:00:00
5,5073.55,289.68,84.31,0,724.79,175.01,205.78,0,1606338000,25/11/20 21:00:00
5,5607.61,318.29,85,0,816.35,192.61,225.7,0,1606341600,25/11/20 22:00:00
5,6034.85,339.75,83.63,0,854.49,215.41,255.01,0,1606345200,25/11/20 23:00:00
5,5981.45,346.9,81.57,0,846.86,217.44,261.69,0,1606348800,26/11/20 0:00:00
5,6568.91,382.66,85,0,946.05,236.83,295.99,0,1606352400,26/11/20 1:00:00
5,9399.41,550.75,106.93,0,1419.07,329.32,415.02,0,1606356000,26/11/20 2:00:00
5,14099.12,829.7,153.54,0,2166.75,490.15,609.38,0,1606359600,26/11/20 3:00:00
5,15808.11,929.83,200.15,0,2380.37,567.89,679.69,0,1606363200,26/11/20 4:00:00
5,14312.74,836.85,227.57,0,2105.71,547.44,620.3,0,1606366800,26/11/20 5:00:00
5,7263.18,422,139.83,0,1083.37,267.92,301.42,0,1606370400,26/11/20 6:00:00
5,4165.65,228.88,90.48,0.01,671.39,131.29,153.88,0.08,1606374000,26/11/20 7:00:00
5,4219.06,227.09,93.22,0,679.02,129.14,152.62,0.26,1606377600,26/11/20 8:00:00
5,4379.27,239.61,95.96,0,686.65,135.19,159.55,0.23,1606381200,26/11/20 9:00:00
5,4005.43,214.58,94.59,0,617.98,128.01,150.69,0.52,1606384800,26/11/20 10:00:00
5,4165.65,212.79,91.85,0,617.98,139.13,163.15,0.82,1606388400,26/11/20 11:00:00
5,4486.08,219.94,93.22,0,656.13,153.63,179.94,0.85,1606392000,26/11/20 12:00:00
